,country,date,close,index1
0,USA,2021-01-22,846.64,0
1,China,2021-01-22,846.64,1
2,China,2021-01-22,846.64,2
3,China,2021-01-22,846.64,3
4,China,2021-01-22,846.64,4
5,China,2021-01-22,846.64,5
6,China,2021-01-22,846.64,6
7,China,2021-01-22,846.64,7
8,China,2021-01-22,846.64,8
9,China,2021-01-22,846.64,9
10,China,2021-01-22,846.64,10
11,China,2021-01-22,846.64,11
12,China,2021-01-22,846.64,12
13,China,2021-01-22,846.64,13
14,China,2021-01-22,846.64,14
15,China,2021-01-22,846.64,15
16,China,2021-01-22,846.64,16
17,China,2021-01-22,846.64,17
18,China,2021-01-22,846.64,18
19,China,2021-01-22,846.64,19
20,China,2021-01-22,846.64,20
21,China,2021-01-22,846.64,21
22,China,2021-01-22,846.64,22
23,China,2021-01-22,846.64,23
24,China,2021-01-22,846.64,24
25,China,2021-01-22,846.64,25
26,China,2021-01-22,846.64,26
27,China,2021-01-22,846.64,27
28,China,2021-01-22,846.64,28
29,China,2021-01-22,846.64,29
30,China,2021-01-22,846.64,30
31,China,2021-01-22,846.64,31
32,China,2021-01-22,846.64,32
33,China,2021-01-22,846.64,33
34,China,2021-01-22,846.64,34
35,China,2021-01-22,846.64,35
36,China,2021-01-22,846.64,36
37,China,2021-01-22,846.64,37
38,China,2021-01-22,846.64,38
39,China,2021-01-22,846.64,39
40,China,2021-01-22,846.64,40
41,China,2021-01-22,846.64,41
42,China,2021-01-22,846.64,42
43,China,2021-01-22,846.64,43
44,China,2021-01-22,846.64,44
45,China,2021-01-22,846.64,45
46,China,2021-01-22,846.64,46
47,China,2021-01-22,846.64,47
48,China,2021-01-22,846.64,48
49,China,2021-01-22,846.64,49
50,China,2021-01-22,846.64,50
51,China,2021-01-22,846.64,51
52,China,2021-01-22,846.64,52
53,China,2021-01-22,846.64,53
54,China,2021-01-22,846.64,54
55,China,2021-01-22,846.64,55
56,China,2021-01-22,846.64,56
57,China,2021-01-22,846.64,57
58,China,2021-01-22,846.64,58
59,China,2021-01-22,846.64,59
60,China,2021-01-22,846.64,60
61,China,2021-01-22,846.64,61
62,China,2021-01-22,846.64,62
63,China,2021-01-22,846.64,63
64,China,2021-01-22,846.64,64
65,China,2021-01-22,846.64,65
66,China,2021-01-22,846.64,66
67,China,2021-01-22,846.64,67
68,China,2021-01-22,846.64,68
69,China,2021-01-22,846.64,69
70,China,2021-01-22,846.64,70
71,China,2021-01-22,846.64,71
72,China,2021-01-22,846.64,72
73,Canada,2021-01-21,844.99,73
74,Taiwan,2021-01-20,850.45,74
75,Taiwan,2021-01-20,850.45,75
76,USA,2021-01-20,850.45,76
77,Canada,2021-01-15,826.16,77
78,USA,2021-01-15,826.16,78
79,USA,2021-01-14,845.0,79
80,USA,2021-01-07,816.04,80
81,France,2021-01-07,816.04,81
82,USA,2021-01-06,755.98,82
83,USA,2020-12-31,705.67,83
84,USA,2020-12-31,705.67,84
85,China,2020-12-30,694.78,85
86,USA,2020-12-30,694.78,86
87,Germany,2020-12-24,661.77,87
88,United Arab Emirates,2020-12-24,661.77,88
89,USA,2020-12-24,661.77,89
90,China,2020-12-23,645.98,90
91,USA,2020-12-23,645.98,91
92,Germany,2020-12-23,645.98,92
93,China,2020-12-23,645.98,93
94,USA,2020-12-23,645.98,94
95,Germany,2020-12-23,645.98,95
96,USA,2020-12-22,640.34,96
97,Austria,2020-12-22,640.34,97
98,Germany,2020-12-22,640.34,98
99,USA,2020-12-18,695.0,99
100,France,2020-12-18,695.0,100
101,Australia,2020-12-18,695.0,101
102,USA,2020-12-18,695.0,102
103,Germany,2020-12-18,695.0,103
104,USA,2020-12-18,695.0,104
105,Norway,2020-12-17,655.9,105
106,Italy,2020-12-17,655.9,106
107,USA,2020-12-17,655.9,107
108,United Kingdom,2020-12-17,655.9,108
109,USA,2020-12-16,622.77,109
110,United Kingdom,2020-12-16,622.77,110
111,Norway,2020-12-16,622.77,111
112,Netherlands,2020-12-16,622.77,112
113,Sweden,2020-12-15,633.25,113
114,USA,2020-12-15,633.25,114
115,USA,2020-12-15,633.25,115
116,USA,2020-12-14,639.83,116
117,USA,2020-12-11,609.99,117
118,USA,2020-12-11,609.99,118
119,Japan,2020-12-11,609.99,119
120,USA,2020-12-11,609.99,120
121,France,2020-12-11,609.99,121
122,USA,2020-12-10,627.07,122
123,United Kingdom,2020-12-10,627.07,123
124,Sweden,2020-12-09,604.48,124
125,Germany,2020-12-09,604.48,125
126,United Kingdom,2020-12-08,649.88,126
127,New Zealand,2020-12-08,649.88,127
128,USA,2020-12-08,649.88,128
129,United Kingdom,2020-12-08,649.88,129
130,USA,2020-12-07,641.76,130
131,USA,2020-12-04,599.04,131
132,USA,2020-12-04,599.04,132
133,United Kingdom,2020-12-04,599.04,133
134,Slovakia,2020-12-03,593.38,134
135,New Zealand,2020-12-02,568.82,135
136,Germany,2020-12-01,584.76,136
137,Austria,2020-11-30,567.6,137
138,Norway,2020-11-27,585.76,138
139,USA,2020-11-25,574.0,139
140,USA,2020-11-25,574.0,140
141,USA,2020-11-24,555.38,141
142,New Zealand,2020-11-24,555.38,142
143,China,2020-11-20,489.61,143
144,USA,2020-11-20,489.61,144
145,USA,2020-11-20,489.61,145
146,USA,2020-11-20,489.61,146
147,USA,2020-11-19,499.27,147
148,USA,2020-11-18,486.64,148
149,USA,2020-11-18,486.64,149
150,USA,2020-11-18,486.64,150
151,Norway,2020-11-18,486.64,151
152,USA,2020-11-18,486.64,152
153,Netherlands,2020-11-18,486.64,153
154,USA,2020-11-17,441.61,154
155,USA,2020-11-17,441.61,155
156,USA,2020-11-13,408.5,156
157,USA,2020-11-13,408.5,157
158,USA,2020-11-13,408.5,158
159,Mexico,2020-11-12,411.76,159
160,France,2020-11-09,421.26,160
161,Iceland,2020-11-09,421.26,161
162,United Kingdom,2020-11-09,421.26,162
163,Germany,2020-11-06,429.95,163
164,USA,2020-11-06,429.95,164
165,USA,2020-11-05,438.09,165
166,USA,2020-11-05,438.09,166
167,USA,2020-11-05,438.09,167
168,France,2020-11-05,438.09,168
169,USA,2020-11-05,438.09,169
170,USA,2020-11-04,420.98,170
171,Belgium,2020-11-02,400.51,171
172,USA,2020-10-30,388.04,172
173,USA,2020-10-30,388.04,173
174,USA,2020-10-30,388.04,174
175,Spain,2020-10-29,410.83,175
176,USA,2020-10-29,410.83,176
177,China,2020-10-29,410.83,177
178,Spain,2020-10-28,406.02,178
179,USA,2020-10-28,406.02,179
180,Canada,2020-10-23,420.63,180
181,USA,2020-10-21,422.64,181
182,Slovenia,2020-10-20,421.94,182
183,USA,2020-10-19,430.83,183
184,France,2020-10-19,430.83,184
185,USA,2020-10-15,448.88,185
186,USA,2020-10-15,448.88,186
187,Norway,2020-10-14,461.3,187
188,USA,2020-10-13,446.65,188
189,Italy,2020-10-12,442.3,189
190,USA,2020-10-08,425.92,190
191,Germany,2020-10-08,425.92,191
192,USA,2020-10-07,425.3,192
193,France,2020-10-07,425.3,193
194,USA,2020-10-05,425.68,194
195,USA,2020-10-02,415.09,195
196,USA,2020-10-02,415.09,196
197,Netherlands,2020-10-01,448.16,197
198,USA,2020-10-01,448.16,198
199,United Kingdom,2020-10-01,448.16,199
200,USA,2020-09-30,429.01,200
201,United Kingdom,2020-09-29,419.07,201
202,Netherlands,2020-09-29,419.07,202
203,Taiwan,2020-09-25,407.34,203
204,United Kingdom,2020-09-24,387.79,204
205,USA,2020-09-22,424.23,205
206,Canada,2020-09-18,442.15,206
207,USA,2020-09-18,442.15,207
208,USA,2020-09-17,423.43,208
209,Germany,2020-09-16,441.76,209
210,USA,2020-09-15,449.76,210
211,Taiwan,2020-09-15,449.76,211
212,Germany,2020-09-10,371.34,212
213,USA,2020-09-09,366.28,213
214,USA,2020-09-04,418.32,214
215,USA,2020-09-04,418.32,215
216,USA,2020-09-04,418.32,216
217,USA,2020-09-03,407.0,217
218,USA,2020-09-03,407.0,218
219,Norway,2020-09-03,407.0,219
220,USA,2020-09-03,407.0,220
221,Germany,2020-09-01,475.05,221
222,USA,2020-08-28,442.68,222
223,USA,2020-08-27,447.75,223
224,United Kingdom,2020-08-25,404.67,224
225,USA,2020-08-25,404.67,225
226,Portugal,2020-08-24,402.84,226
227,USA,2020-08-21,410.0,227
228,Germany,2020-08-20,400.37,228
229,USA,2020-08-18,377.42,229
230,Mexico,2020-08-14,330.14,230
231,USA,2020-08-14,330.14,231
232,France,2020-08-11,274.88,232
233,USA,2020-08-07,290.54,233
234,Canada,2020-08-06,297.92,234
235,USA,2020-08-05,297.0,235
236,United Kingdom,2020-08-05,297.0,236
237,United Kingdom,2020-08-05,297.0,237
238,USA,2020-08-04,297.4,238
239,France,2020-07-31,286.15,239
240,USA,2020-07-30,297.5,240
241,USA,2020-07-29,299.82,241
242,Spain,2020-07-29,299.82,242
243,Iceland,2020-07-27,307.92,243
244,USA,2020-07-24,283.4,244
245,Netherlands,2020-07-24,283.4,245
246,Italy,2020-07-23,302.61,246
247,Denmark,2020-07-22,318.47,247
248,USA,2020-07-21,313.67,248
249,Canada,2020-07-20,328.6,249
250,Netherlands,2020-07-16,300.13,250
251,Norway,2020-07-16,300.13,251
252,USA,2020-07-16,300.13,252
253,Mexico,2020-07-15,309.2,253
254,USA,2020-07-15,309.2,254
255,USA,2020-07-13,299.41,255
256,Netherlands,2020-07-09,278.86,256
257,USA,2020-07-09,278.86,257
258,USA,2020-07-08,273.18,258
259,USA,2020-07-08,273.18,259
260,USA,2020-07-02,241.73,260
261,USA,2020-07-02,241.73,261
262,USA,2020-07-02,241.73,262
263,USA,2020-07-02,241.73,263
264,USA,2020-07-01,223.93,264
265,Norway,2020-06-30,215.96,265
266,United Kingdom,2020-06-30,215.96,266
267,Taiwan,2020-06-29,201.87,267
268,USA,2020-06-26,191.95,268
269,USA,2020-06-26,191.95,269
270,USA,2020-06-26,191.95,270
271,USA,2020-06-25,197.2,271
272,USA,2020-06-24,192.17,272
273,USA,2020-06-24,192.17,273
274,United Kingdom,2020-06-23,200.36,274
275,USA,2020-06-19,200.18,275
276,USA,2020-06-19,200.18,276
277,USA,2020-06-18,200.79,277
278,USA,2020-06-18,200.79,278
279,USA,2020-06-17,198.36,279
280,USA,2020-06-17,198.36,280
281,USA,2020-06-17,198.36,281
282,USA,2020-06-11,194.57,282
283,USA,2020-06-10,205.01,283
284,USA,2020-06-10,205.01,284
285,USA,2020-06-08,189.98,285
286,USA,2020-05-29,167.0,286
287,USA,2020-05-29,167.0,287
288,USA,2020-05-28,161.16,288
289,USA,2020-05-28,161.16,289
290,USA,2020-05-27,164.05,290
291,USA,2020-05-20,163.11,291
292,USA,2020-05-19,161.6,292
293,USA,2020-05-13,158.19,293
294,USA,2020-05-06,156.52,294
295,USA,2020-05-06,156.52,295
296,Norway,2020-04-24,145.03,296
297,USA,2020-04-17,150.78,297
298,USA,2020-04-08,109.77,298
299,USA,2020-04-06,103.25,299
300,Australia,2020-04-06,103.25,300
301,Canada,2020-04-03,96.0,301
302,Taiwan,2020-03-31,104.8,302
303,USA,2020-03-31,104.8,303
304,Canada,2020-03-31,104.8,304
305,China,2020-03-31,104.8,305
306,China,2020-03-31,104.8,306
307,Australia,2020-03-31,104.8,307
308,Japan,2020-03-31,104.8,308
309,USA,2020-03-30,100.43,309
310,Poland,2020-03-30,100.43,310
311,USA,2020-03-25,107.85,311
312,USA,2020-03-25,107.85,312
313,USA,2020-03-24,101.0,313
314,Canada,2020-03-24,101.0,314
315,USA,2020-03-24,101.0,315
316,USA,2020-03-24,101.0,316
317,United Kingdom,2020-03-23,86.86,317
318,USA,2020-03-18,72.24,318
319,Canada,2020-03-16,89.01,319
320,USA,2020-03-16,89.01,320
321,Serbia,2020-03-13,109.32,321
322,Serbia,2020-03-13,109.32,322
323,Norway,2020-03-12,112.11,323
324,Bulgaria,2020-03-11,126.85,324
325,USA,2020-03-06,140.7,325
326,Australia,2020-03-05,144.91,326
327,USA,2020-03-05,144.91,327
328,Australia,2020-03-04,149.9,328
329,USA,2020-02-28,133.6,329
330,USA,2020-02-27,135.8,330
331,USA,2020-02-25,159.98,331
332,USA,2020-02-25,159.98,332
333,France,2020-02-25,159.98,333
334,USA,2020-02-25,159.98,334
335,USA,2020-02-25,159.98,335
336,USA,2020-02-25,159.98,336
337,USA,2020-02-21,180.2,337
338,USA,2020-02-21,180.2,338
339,Norway,2020-02-21,180.2,339
340,USA,2020-02-20,179.88,340
341,USA,2020-02-18,171.68,341
342,USA,2020-02-18,171.68,342
343,USA,2020-02-14,160.01,343
344,USA,2020-02-14,160.01,344
345,USA,2020-02-14,160.01,345
346,USA,2020-02-13,160.8,346
347,Sweden,2020-02-13,160.8,347
348,Sweden,2020-02-11,154.88,348
349,USA,2020-02-07,149.61,349
350,USA,2020-02-07,149.61,350
351,USA,2020-02-07,149.61,351
352,USA,2020-02-07,149.61,352
353,USA,2020-02-06,149.79,353
354,USA,2020-02-06,149.79,354
355,USA,2020-01-30,128.16,355
356,USA,2020-01-30,128.16,356
357,USA,2020-01-30,128.16,357
358,USA,2020-01-30,128.16,358
359,USA,2020-01-29,116.2,359
360,USA,2020-01-28,113.38,360
361,USA,2020-01-28,113.38,361
362,USA,2020-01-28,113.38,362
363,Canada,2020-01-28,113.38,363
364,USA,2020-01-28,113.38,364
365,Taiwan,2020-01-27,111.6,365
